FID,the_geom,District,ID_Muni,Municipali,Longitude,Latitude,Population,Urb_ou_Rur,Pop_total,Services__,Densite_Po,Urb_Rur
population_mada.294,POINT (47.083333333333336 -19.6),ANTSIRABE II,118331,AMBOHIBARY,47.083333,-19.6,62316,,44182,10.2,217.74,Rural
population_mada.295,POINT (47.166666666666664 -19.51666666666667),ANTSIRABE II,118332,MANDROSOHASINA,47.166667,-19.516667,27149,,19249,10.2,100.41,Rural
population_mada.296,POINT (47.25 -20),ANTSIRABE II,118350,TSARAHONENANA SAHANIVOTRY,47.25,-20,20982,,14876,10.2,176.57,Rural
population_mada.297,POINT (47.38333333333333 -19.950000000000003),ANTSIRABE II,118370,ANTANAMBAO,47.383333,-19.95,32005,,22691,10.2,12.23,Rural
population_mada.298,POINT (46.53333333333333 -18.383333333333333),FENOARIVOBE,119010,FENOARIVO CENTRE,46.533333,-18.383333,25749,,17613,10.2,48.27,Rural
population_mada.299,POINT (46.81666666666667 -18.583333333333336),FENOARIVOBE,119031,FIRAVAHANA,46.816667,-18.583333,36879,,25226,10.2,83.05,Rural
population_mada.300,POINT (47 -18.666666666666668),FENOARIVOBE,119032,MORARANO MARITAMPONA,47,-18.666667,12712,,8695,10.2,13.6,Rural
population_mada.301,POINT (46.1 -18.283333333333335),FENOARIVOBE,119051,KIRANOMENA,46.1,-18.283333,21754,,14880,10.2,16.48,Rural
population_mada.302,POINT (45.85 -18.283333333333335),FENOARIVOBE,119052,TSINJOARIVO 22,45.85,-18.283333,8450,,5780,10.2,16,Rural
population_mada.303,POINT (46.36666666666667 -17.950000000000003),FENOARIVOBE,119071,AMBOHITROMBY,46.366667,-17.95,20205,,13820,10.2,10.22,Rural
population_mada.304,POINT (46.38333333333333 -18.183333333333334),FENOARIVOBE,119072,AMBATOMAINTY ATSIMO,46.383333,-18.183333,5213,,3566,10.2,6.77,Rural
population_mada.305,POINT (46 -18.016666666666666),FENOARIVO AFOVOANY,119090,MAHAJEBY,46,-18.016667,5938,,4062,10.2,41.5,Rural
population_mada.306,POINT (46.166666666666664 -19.51666666666667),BETAFO,109430,ANTANAMBAO AMBARY,46.166667,-19.516667,12496,,8860,10.2,11.99,Rural
population_mada.307,POINT (47.06666666666667 -21.45),FIANARANTSOA I,201001,TANANA AMBONY,47.066667,-21.45,43024,,25642,35.7,4140.87,Urban
population_mada.308,POINT (47.083333333333336 -21.433333333333334),FIANARANTSOA I,201002,TANANA AMBANY,47.083333,-21.433333,82119,,48943,35.7,8066.75,Urban
population_mada.309,POINT (47.11666666666667 -21.45),FIANARANTSOA I,201003,ANDRAINJATO AVARATRA,47.116667,-21.45,24104,,14366,35.7,1083.32,Urban
population_mada.310,POINT (47.1 -21.46666666666667),FIANARANTSOA I,201004,ANDRAINJATO ATSIMO,47.1,-21.466667,10683,,6367,35.7,455.75,Urban
population_mada.311,POINT (47.083333333333336 -21.416666666666668),FIANARANTSOA I,201005,MANOLAFAKA,47.083333,-21.416667,20680,,12325,35.7,1105.89,Urban
population_mada.312,POINT (47.06666666666667 -21.483333333333334),FIANARANTSOA I,201006,LALAZANA,47.066667,-21.483333,10628,,6334,35.7,980.46,Urban
population_mada.313,POINT (47.05 -21.433333333333334),FIANARANTSOA I,201007,VATOSOLA,47.05,-21.433333,7920,,4720,35.7,380.95,Urban
population_mada.314,POINT (46.78333333333333 -20.483333333333334),AMBATOFINANDRAHANA,202010,AMBATOFINANDRAHANA,46.783333,-20.483333,29229,,17800,10.2,34.08,Rural
population_mada.315,POINT (46.61666666666667 -20.5),AMBATOFINANDRAHANA,202030,ITREMO,46.616667,-20.5,9809,,5974,10.2,10.17,Rural
population_mada.316,POINT (46.78333333333333 -20.81666666666667),AMBATOFINANDRAHANA,202050,FENOARIVO,46.783333,-20.816667,18104,,11025,10.2,25.9,Rural
population_mada.317,POINT (46.93333333333334 -20.416666666666668),AMBATOFINANDRAHANA,202070,SOAVINA,46.933333,-20.416667,29955,,18243,10.2,96.34,Rural
population_mada.318,POINT (46.833333333333336 -20.316666666666666),AMBATOFINANDRAHANA,202090,AMBONDROMISOTRA,46.833333,-20.316667,15008,,9140,10.2,84.12,Rural
